term,tree,l1,l2,l3,l4,l5,l6,l7
Nicotine,D03.383.725.518,D03,383,725,518,,,
Nicotinic Acids,D03.383.725.547,D03,383,725,547,,,
Arecoline,D03.383.725.547.292,D03,383,725,547,292,,
Clonixin,D03.383.725.547.375,D03,383,725,547,375,,
Etazolate,D03.383.725.547.400,D03,383,725,547,400,,
Niacin,D03.383.725.547.475,D03,383,725,547,475,,
Niacinamide,D03.383.725.547.530,D03,383,725,547,530,,
6-Aminonicotinamide,D03.383.725.547.530.248,D03,383,725,547,530,248,
Nicorandil,D03.383.725.547.530.498,D03,383,725,547,530,498,
Nikethamide,D03.383.725.547.530.500,D03,383,725,547,530,500,
Niceritrol,D03.383.725.547.540,D03,383,725,547,540,,
Niflumic Acid,D03.383.725.547.550,D03,383,725,547,550,,
Nimodipine,D03.383.725.547.570,D03,383,725,547,570,,
Pipemidic Acid,D03.383.725.547.635,D03,383,725,547,635,,
Piromidic Acid,D03.383.725.547.650,D03,383,725,547,650,,
"3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, Methyl ester",D03.383.725.547.900,D03,383,725,547,900,,
Xanthinol Niacinate,D03.383.725.547.950,D03,383,725,547,950,,
Nicotinyl Alcohol,D03.383.725.565,D03,383,725,565,,,
Pheniramine,D03.383.725.620,D03,383,725,620,,,
Brompheniramine,D03.383.725.620.129,D03,383,725,620,129,,
Zimeldine,D03.383.725.620.129.960,D03,383,725,620,129,960,
Chlorpheniramine,D03.383.725.620.150,D03,383,725,620,150,,
Picolines,D03.383.725.676,D03,383,725,676,,,
Amprolium,D03.383.725.676.152,D03,383,725,676,152,,
Vitamin B 6,D03.383.725.676.925,D03,383,725,676,925,,
Pyridoxal,D03.383.725.676.925.500,D03,383,725,676,925,500,
Pyridoxal Phosphate,D03.383.725.676.925.500.500,D03,383,725,676,925,500,500
Pyridoxamine,D03.383.725.676.925.750,D03,383,725,676,925,750,
Pyridoxine,D03.383.725.676.925.875,D03,383,725,676,925,875,
Picolinic Acids,D03.383.725.705,D03,383,725,705,,,
Fusaric Acid,D03.383.725.705.200,D03,383,725,705,200,,
Picloram,D03.383.725.705.523,D03,383,725,705,523,,
Pyridoxic Acid,D03.383.725.705.645,D03,383,725,705,645,,
Streptonigrin,D03.383.725.705.768,D03,383,725,705,768,,
Polyvinylpyridine N-Oxide,D03.383.725.740,D03,383,725,740,,,
Pyridinium Compounds,D03.383.725.762,D03,383,725,762,,,
Cetylpyridinium,D03.383.725.762.232,D03,383,725,762,232,,
Desmosine,D03.383.725.762.300,D03,383,725,762,300,,
Diquat,D03.383.725.762.352,D03,383,725,762,352,,
Isodesmosine,D03.383.725.762.500,D03,383,725,762,500,,
1-Methyl-4-phenylpyridinium,D03.383.725.762.550,D03,383,725,762,550,,
Obidoxime Chloride,D03.383.725.762.600,D03,383,725,762,600,,
Paraquat,D03.383.725.762.621,D03,383,725,762,621,,
Pyridostigmine Bromide,D03.383.725.762.740,D03,383,725,762,740,,
Pyrithiamine,D03.383.725.762.760,D03,383,725,762,760,,
Trimedoxime,D03.383.725.762.900,D03,383,725,762,900,,
Viologens,D03.383.725.762.925,D03,383,725,762,925,,
Benzyl Viologen,D03.383.725.762.925.100,D03,383,725,762,925,100,
Pyridones,D03.383.725.791,D03,383,725,791,,,
Bemegride,D03.383.725.791.100,D03,383,725,791,100,,
Iodopyridones,D03.383.725.791.496,D03,383,725,791,496,,
Iodopyracet,D03.383.725.791.496.371,D03,383,725,791,496,371,
Propyliodone,D03.383.725.791.496.750,D03,383,725,791,496,750,
Mimosine,D03.383.725.791.550,D03,383,725,791,550,,
Trazodone,D03.383.725.791.900,D03,383,725,791,900,,
Pyrithioxin,D03.383.725.812,D03,383,725,812,,,
Quinolinic Acids,D03.383.725.822,D03,383,725,822,,,
Quinolinic Acid,D03.383.725.822.700,D03,383,725,822,700,,
Thienopyridines,D03.383.725.849,D03,383,725,849,,,
Ticlopidine,D03.383.725.849.500,D03,383,725,849,500,,
Tolperisone,D03.383.725.877,D03,383,725,877,,,
Triprolidine,D03.383.725.932,D03,383,725,932,,,
Tropicamide,D03.383.725.942,D03,383,725,942,,,
Pyrimidines,D03.383.742,D03,383,742,,,,
Buspirone,D03.383.742.120,D03,383,742,120,,,
Dipyridamole,D03.383.742.175,D03,383,742,175,,,
Epirizole,D03.383.742.200,D03,383,742,200,,,
Fursultiamin,D03.383.742.225,D03,383,742,225,,,
Hexetidine,D03.383.742.279,D03,383,742,279,,,
Minoxidil,D03.383.742.418,D03,383,742,418,,,
Mopidamol,D03.383.742.430,D03,383,742,430,,,
Morantel,D03.383.742.440,D03,383,742,440,,,
Nicarbazin,D03.383.742.470,D03,383,742,470,,,
Oxypurinol,D03.383.742.550,D03,383,742,550,,,
Pyrantel,D03.383.742.634,D03,383,742,634,,,
Pyrantel Pamoate,D03.383.742.634.600,D03,383,742,634,600,,
Pyrantel Tartrate,D03.383.742.634.670,D03,383,742,634,670,,
Pyrimethamine,D03.383.742.675,D03,383,742,675,,,
Pyrimidine Nucleosides,D03.383.742.680,D03,383,742,680,,,
Cytidine,D03.383.742.680.245,D03,383,742,680,245,,
Azacitidine,D03.383.742.680.245.217,D03,383,742,680,245,217,
Cytarabine,D03.383.742.680.245.453,D03,383,742,680,245,453,
Ancitabine,D03.383.742.680.245.453.050,D03,383,742,680,245,453,50
Deoxycytidine,D03.383.742.680.245.500,D03,383,742,680,245,500,
Bromodeoxycytidine,D03.383.742.680.245.500.250,D03,383,742,680,245,500,250
Zalcitabine,D03.383.742.680.245.500.950,D03,383,742,680,245,500,950
Lamivudine,D03.383.742.680.245.500.950.500,D03,383,742,680,245,500,950
Formycins,D03.383.742.680.350,D03,383,742,680,350,,
Coformycin,D03.383.742.680.350.200,D03,383,742,680,350,200,
Pentostatin,D03.383.742.680.350.200.700,D03,383,742,680,350,200,700
Thymidine,D03.383.742.680.705,D03,383,742,680,705,,
Stavudine,D03.383.742.680.705.875,D03,383,742,680,705,875,
Trifluridine,D03.383.742.680.705.900,D03,383,742,680,705,900,
Zidovudine,D03.383.742.680.705.950,D03,383,742,680,705,950,
Tunicamycin,D03.383.742.680.725,D03,383,742,680,725,,
Uridine,D03.383.742.680.852,D03,383,742,680,852,,
Arabinofuranosyluracil,D03.383.742.680.852.150,D03,383,742,680,852,150,
Azauridine,D03.383.742.680.852.176,D03,383,742,680,852,176,
3-Deazauridine,D03.383.742.680.852.250,D03,383,742,680,852,250,
Deoxyuridine,D03.383.742.680.852.300,D03,383,742,680,852,300,
Bromodeoxyuridine,D03.383.742.680.852.300.150,D03,383,742,680,852,300,150
Floxuridine,D03.383.742.680.852.300.350,D03,383,742,680,852,300,350
Idoxuridine,D03.383.742.680.852.300.400,D03,383,742,680,852,300,400
Pseudouridine,D03.383.742.680.852.628,D03,383,742,680,852,628,
Tetrahydrouridine,D03.383.742.680.852.800,D03,383,742,680,852,800,
Thiouridine,D03.383.742.680.852.829,D03,383,742,680,852,829,
Pyrimidine Nucleotides,D03.383.742.686,D03,383,742,686,,,
Apurinic Acid,D03.383.742.686.050,D03,383,742,686,50,,
Cytosine Nucleotides,D03.383.742.686.246,D03,383,742,686,246,,
Arabinofuranosylcytosine Triphosphate,D03.383.742.686.246.050,D03,383,742,686,246,50,
Cyclic CMP,D03.383.742.686.246.115,D03,383,742,686,246,115,
Cytidine Diphosphate,D03.383.742.686.246.150,D03,383,742,686,246,150,
Cytidine Diphosphate Choline,D03.383.742.686.246.150.180,D03,383,742,686,246,150,180
Cytidine Diphosphate Diglycerides,D03.383.742.686.246.150.210,D03,383,742,686,246,150,210
Cytidine Monophosphate,D03.383.742.686.246.370,D03,383,742,686,246,370,
Cytidine Monophosphate N-Acetylneuraminic Acid,D03.383.742.686.246.370.250,D03,383,742,686,246,370,250
Cytidine Triphosphate,D03.383.742.686.246.400,D03,383,742,686,246,400,
Deoxycytosine Nucleotides,D03.383.742.686.246.425,D03,383,742,686,246,425,
Deoxycytidine Monophosphate,D03.383.742.686.246.425.300,D03,383,742,686,246,425,300
Pyrimidine Dimers,D03.383.742.686.600,D03,383,742,686,600,,
Thymine Nucleotides,D03.383.742.686.706,D03,383,742,686,706,,
Thymidine Monophosphate,D03.383.742.686.706.788,D03,383,742,686,706,788,
Uracil Nucleotides,D03.383.742.686.850,D03,383,742,686,850,,
Deoxyuracil Nucleotides,D03.383.742.686.850.210,D03,383,742,686,850,210,
Fluorodeoxyuridylate,D03.383.742.686.850.210.200,D03,383,742,686,850,210,200
Uridine Diphosphate,D03.383.742.686.850.600,D03,383,742,686,850,600,
Uridine Diphosphate Sugars,D03.383.742.686.850.600.677,D03,383,742,686,850,600,677
Uridine Diphosphate N-Acetylgalactosamine,D03.383.742.686.850.600.677.100,D03,383,742,686,850,600,677
Uridine Diphosphate N-Acetylglucosamine,D03.383.742.686.850.600.677.120,D03,383,742,686,850,600,677
Uridine Diphosphate N-Acetylmuramic Acid,D03.383.742.686.850.600.677.150,D03,383,742,686,850,600,677
Uridine Diphosphate Galactose,D03.383.742.686.850.600.677.300,D03,383,742,686,850,600,677
Uridine Diphosphate Glucose,D03.383.742.686.850.600.677.350,D03,383,742,686,850,600,677
Uridine Diphosphate Glucuronic Acid,D03.383.742.686.850.600.677.375,D03,383,742,686,850,600,677
Uridine Diphosphate Xylose,D03.383.742.686.850.600.677.800,D03,383,742,686,850,600,677
Uridine Monophosphate,D03.383.742.686.850.877,D03,383,742,686,850,877,
Uridine Triphosphate,D03.383.742.686.850.950,D03,383,742,686,850,950,
Pyrimidinones,D03.383.742.698,D03,383,742,698,,,
Alloxan,D03.383.742.698.122,D03,383,742,698,122,,
Barbiturates,D03.383.742.698.253,D03,383,742,698,253,,
Amobarbital,D03.383.742.698.253.077,D03,383,742,698,253,77,
Barbital,D03.383.742.698.253.150,D03,383,742,698,253,150,
Hexobarbital,D03.383.742.698.253.317,D03,383,742,698,253,317,
Mephobarbital,D03.383.742.698.253.434,D03,383,742,698,253,434,
Methohexital,D03.383.742.698.253.488,D03,383,742,698,253,488,
Murexide,D03.383.742.698.253.500,D03,383,742,698,253,500,
Pentobarbital,D03.383.742.698.253.593,D03,383,742,698,253,593,
Phenobarbital,D03.383.742.698.253.650,D03,383,742,698,253,650,
Primidone,D03.383.742.698.253.650.700,D03,383,742,698,253,650,700
Secobarbital,D03.383.742.698.253.762,D03,383,742,698,253,762,
Thiobarbiturates,D03.383.742.698.253.800,D03,383,742,698,253,800,
Thiamylal,D03.383.742.698.253.800.750,D03,383,742,698,253,800,750
Thiopental,D03.383.742.698.253.800.810,D03,383,742,698,253,800,810
Cytosine,D03.383.742.698.421,D03,383,742,698,421,,
Flucytosine,D03.383.742.698.421.431,D03,383,742,698,421,431,
5-Methylcytosine,D03.383.742.698.421.500,D03,383,742,698,421,500,
Lopinavir,D03.383.742.698.553,D03,383,742,698,553,,
Risperidone,D03.383.742.698.685,D03,383,742,698,685,,
Ritanserin,D03.383.742.698.700,D03,383,742,698,700,,
Sparsomycin,D03.383.742.698.715,D03,383,742,698,715,,
Uracil,D03.383.742.698.875,D03,383,742,698,875,,
Bromouracil,D03.383.742.698.875.237,D03,383,742,698,875,237,
Fluorouracil,D03.383.742.698.875.404,D03,383,742,698,875,404,
Tegafur,D03.383.742.698.875.404.850,D03,383,742,698,875,404,850
Hydroxyphenylazouracil,D03.383.742.698.875.480,D03,383,742,698,875,480,
Orotic Acid,D03.383.742.698.875.660,D03,383,742,698,875,660,
Pentoxyl,D03.383.742.698.875.700,D03,383,742,698,875,700,
Thiouracil,D03.383.742.698.875.842,D03,383,742,698,875,842,
Methylthiouracil,D03.383.742.698.875.842.455,D03,383,742,698,875,842,455
Propylthiouracil,D03.383.742.698.875.842.708,D03,383,742,698,875,842,708
Thymine,D03.383.742.698.875.899,D03,383,742,698,875,899,
Uracil Mustard,D03.383.742.698.875.949,D03,383,742,698,875,949,
Pyrithiamine,D03.383.742.715,D03,383,742,715,,,
Thiamine,D03.383.742.795,D03,383,742,795,,,
Fursultiamin,D03.383.742.795.300,D03,383,742,795,300,,
Thiamine Monophosphate,D03.383.742.795.600,D03,383,742,795,600,,
Thiamine Pyrophosphate,D03.383.742.795.702,D03,383,742,795,702,,
Thiamine Triphosphate,D03.383.742.795.900,D03,383,742,795,900,,
Trapidil,D03.383.742.875,D03,383,742,875,,,
Trimethoprim,D03.383.742.906,D03,383,742,906,,,
Trimethoprim-Sulfamethoxazole Combination,D03.383.742.906.500,D03,383,742,906,500,,
Pyrrolidines,D03.383.773,D03,383,773,,,,
Anisomycin,D03.383.773.050,D03,383,773,50,,,
Bepridil,D03.383.773.107,D03,383,773,107,,,
Clemastine,D03.383.773.165,D03,383,773,165,,,
"3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer",D03.383.773.170,D03,383,773,170,,,
Glycopyrrolate,D03.383.773.342,D03,383,773,342,,,
Imino Furanoses,D03.383.773.371,D03,383,773,371,,,
Kainic Acid,D03.383.773.400,D03,383,773,400,,,
Lincosamides,D03.383.773.532,D03,383,773,532,,,
Lincomycin,D03.383.773.532.500,D03,383,773,532,500,,
Clindamycin,D03.383.773.532.500.125,D03,383,773,532,500,125,
Nafoxidine,D03.383.773.589,D03,383,773,589,,,
Nitromifene,D03.383.773.610,D03,383,773,610,,,
N-Nitrosopyrrolidine,D03.383.773.630,D03,383,773,630,,,
Pentolinium Tartrate,D03.383.773.700,D03,383,773,700,,,
Procyclidine,D03.383.773.728,D03,383,773,728,,,
Pyrrolidinones,D03.383.773.812,D03,383,773,812,,,
Cotinine,D03.383.773.812.180,D03,383,773,812,180,,
Doxapram,D03.383.773.812.226,D03,383,773,812,226,,
Oxotremorine,D03.383.773.812.498,D03,383,773,812,498,,
Piracetam,D03.383.773.812.555,D03,383,773,812,555,,
Povidone,D03.383.773.812.615,D03,383,773,812,615,,
Povidone-Iodine,D03.383.773.812.615.630,D03,383,773,812,615,630,
Pyrrolidonecarboxylic Acid,D03.383.773.812.718,D03,383,773,812,718,,
Rolipram,D03.383.773.812.785,D03,383,773,812,785,,
Succinimides,D03.383.773.812.852,D03,383,773,812,852,,
Bromosuccinimide,D03.383.773.812.852.150,D03,383,773,812,852,150,
Ethosuximide,D03.383.773.812.852.333,D03,383,773,812,852,333,
Tenuazonic Acid,D03.383.773.812.900,D03,383,773,812,900,,
Tremorine,D03.383.773.906,D03,383,773,906,,,
Thiazines,D03.383.855,D03,383,855,,,,
Chlormezanone,D03.383.855.150,D03,383,855,150,,,
Nifurtimox,D03.383.855.400,D03,383,855,400,,,
Piroxicam,D03.383.855.500,D03,383,855,500,,,
Thiadiazines,D03.383.855.785,D03,383,855,785,,,
Xylazine,D03.383.855.985,D03,383,855,985,,,
Thiepins,D03.383.886,D03,383,886,,,,
Thiazepines,D03.383.886.702,D03,383,886,702,,,
Thiophenes,D03.383.903,D03,383,903,,,,
Carticaine,D03.383.903.150,D03,383,903,150,,,
Ketotifen,D03.383.903.370,D03,383,903,370,,,
Morantel,D03.383.903.440,D03,383,903,440,,,
Pizotyline,D03.383.903.580,D03,383,903,580,,,
Pyrantel,D03.383.903.634,D03,383,903,634,,,
Pyrantel Pamoate,D03.383.903.634.600,D03,383,903,634,600,,
Pyrantel Tartrate,D03.383.903.634.670,D03,383,903,634,670,,
Thenoyltrifluoroacetone,D03.383.903.820,D03,383,903,820,,,
Thienopyridines,D03.383.903.830,D03,383,903,830,,,
Ticlopidine,D03.383.903.830.500,D03,383,903,830,500,,
Ticrynafen,D03.383.903.840,D03,383,903,840,,,
Tiletamine,D03.383.903.850,D03,383,903,850,,,
Triazines,D03.383.931,D03,383,931,,,,
Almitrine,D03.383.931.095,D03,383,931,95,,,
Altretamine,D03.383.931.135,D03,383,931,135,,,
Apazone,D03.383.931.190,D03,383,931,190,,,
Atrazine,D03.383.931.247,D03,383,931,247,,,
Ferrozine,D03.383.931.320,D03,383,931,320,,,
Oxonic Acid,D03.383.931.640,D03,383,931,640,,,
Prometryne,D03.383.931.674,D03,383,931,674,,,
Simazine,D03.383.931.819,D03,383,931,819,,,
Triethylenemelamine,D03.383.931.915,D03,383,931,915,,,
"Heterocyclic Compounds, 2-Ring",D03.438,D03,438,,,,,
Benzazepines,D03.438.079,D03,438,79,,,,
Benzodiazepines,D03.438.079.080,D03,438,79,80,,,
Alprazolam,D03.438.079.080.030,D03,438,79,80,30,,
Benzodiazepinones,D03.438.079.080.070,D03,438,79,80,70,,
Anthramycin,D03.438.079.080.070.050,D03,438,79,80,70,50,
Bromazepam,D03.438.079.080.070.110,D03,438,79,80,70,110,
Clonazepam,D03.438.079.080.070.150,D03,438,79,80,70,150,
Devazepide,D03.438.079.080.070.200,D03,438,79,80,70,200,
Diazepam,D03.438.079.080.070.216,D03,438,79,80,70,216,
Nordazepam,D03.438.079.080.070.216.500,D03,438,79,80,70,216,500
Flumazenil,D03.438.079.080.070.305,D03,438,79,80,70,305,
Flunitrazepam,D03.438.079.080.070.320,D03,438,79,80,70,320,
Flurazepam,D03.438.079.080.070.348,D03,438,79,80,70,348,
Lorazepam,D03.438.079.080.070.450,D03,438,79,80,70,450,
Nitrazepam,D03.438.079.080.070.565,D03,438,79,80,70,565,
Oxazepam,D03.438.079.080.070.663,D03,438,79,80,70,663,
Pirenzepine,D03.438.079.080.070.750,D03,438,79,80,70,750,
Prazepam,D03.438.079.080.070.784,D03,438,79,80,70,784,
Temazepam,D03.438.079.080.070.880,D03,438,79,80,70,880,
Chlordiazepoxide,D03.438.079.080.150,D03,438,79,80,150,,
Clorazepate Dipotassium,D03.438.079.080.180,D03,438,79,80,180,,
Estazolam,D03.438.079.080.250,D03,438,79,80,250,,
Medazepam,D03.438.079.080.550,D03,438,79,80,550,,
Midazolam,D03.438.079.080.575,D03,438,79,80,575,,
Triazolam,D03.438.079.080.900,D03,438,79,80,900,,
Diltiazem,D03.438.079.150,D03,438,79,150,,,
Fenoldopam,D03.438.079.300,D03,438,79,300,,,
Galantamine,D03.438.079.525,D03,438,79,525,,,
Harringtonines,D03.438.079.533,D03,438,79,533,,,
"2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine",D03.438.079.800,D03,438,79,800,,,
Benzimidazoles,D03.438.103,D03,438,103,,,,
2-Pyridinylmethylsulfinylbenzimidazoles,D03.438.103.034,D03,438,103,34,,,
Lansoprazole,D03.438.103.034.249,D03,438,103,34,249,,
Dexlansoprazole,D03.438.103.034.249.500,D03,438,103,34,249,500,
Omeprazole,D03.438.103.034.500,D03,438,103,34,500,,
Esomeprazole,D03.438.103.034.500.500,D03,438,103,34,500,500,
Rabeprazole,D03.438.103.034.750,D03,438,103,34,750,,
Albendazole,D03.438.103.070,D03,438,103,70,,,
Astemizole,D03.438.103.105,D03,438,103,105,,,
Benomyl,D03.438.103.140,D03,438,103,140,,,
Bisbenzimidazole,D03.438.103.145,D03,438,103,145,,,
Cambendazole,D03.438.103.190,D03,438,103,190,,,
Domperidone,D03.438.103.370,D03,438,103,370,,,
Droperidol,D03.438.103.393,D03,438,103,393,,,
Fenbendazole,D03.438.103.450,D03,438,103,450,,,
Mebendazole,D03.438.103.600,D03,438,103,600,,,
Mibefradil,D03.438.103.618,D03,438,103,618,,,
Nocodazole,D03.438.103.637,D03,438,103,637,,,
Pimozide,D03.438.103.732,D03,438,103,732,,,
Thiabendazole,D03.438.103.850,D03,438,103,850,,,
Benzodioxoles,D03.438.115,D03,438,115,,,,
Piperonyl Butoxide,D03.438.115.600,D03,438,115,600,,,
Safrole,D03.438.115.750,D03,438,115,750,,,
Benzofurans,D03.438.127,D03,438,127,,,,
Amiodarone,D03.438.127.075,D03,438,127,75,,,
Benzbromarone,D03.438.127.110,D03,438,127,110,,,
Cantharidin,D03.438.127.125,D03,438,127,125,,,
Citalopram,D03.438.127.187,D03,438,127,187,,,
Fura-2,D03.438.127.250,D03,438,127,250,,,
Griseofulvin,D03.438.127.275,D03,438,127,275,,,
Pterocarpans,D03.438.127.637,D03,438,127,637,,,
Benzopyrans,D03.438.150,D03,438,150,,,,
Aflatoxins,D03.438.150.119,D03,438,150,119,,,
Aflatoxin B1,D03.438.150.119.075,D03,438,150,119,75,,
Aflatoxin M1,D03.438.150.119.100,D03,438,150,119,100,,
Chromans,D03.438.150.240,D03,438,150,240,,,
Catechin,D03.438.150.240.190,D03,438,150,240,190,,
Centchroman,D03.438.150.240.225,D03,438,150,240,225,,
Chromones,D03.438.150.266,D03,438,150,266,,,
Cromolyn Sodium,D03.438.150.266.300,D03,438,150,266,300,,
Flavonoids,D03.438.150.266.450,D03,438,150,266,450,,
Anthocyanins,D03.438.150.266.450.087,D03,438,150,266,450,87,
Benzoflavones,D03.438.150.266.450.175,D03,438,150,266,450,175,
beta-Naphthoflavone,D03.438.150.266.450.175.100,D03,438,150,266,450,175,100
Biflavonoids,D03.438.150.266.450.190,D03,438,150,266,450,190,
Catechin,D03.438.150.266.450.206,D03,438,150,266,450,206,
Chalcones,D03.438.150.266.450.221,D03,438,150,266,450,221,
Chalcone,D03.438.150.266.450.221.500,D03,438,150,266,450,221,500
Flavanones,D03.438.150.266.450.252,D03,438,150,266,450,252,
Hesperidin,D03.438.150.266.450.252.500,D03,438,150,266,450,252,500
Flavones,D03.438.150.266.450.260,D03,438,150,266,450,260,
Apigenin,D03.438.150.266.450.260.110,D03,438,150,266,450,260,110
Diosmin,D03.438.150.266.450.260.222,D03,438,150,266,450,260,222
Flavoxate,D03.438.150.266.450.260.444,D03,438,150,266,450,260,444
Luteolin,D03.438.150.266.450.260.555,D03,438,150,266,450,260,555
Polyphenols,D03.438.150.266.450.260.777,D03,438,150,266,450,260,777
Flavonolignans,D03.438.150.266.450.268,D03,438,150,266,450,268,
Silymarin,D03.438.150.266.450.268.777,D03,438,150,266,450,268,777
Flavonols,D03.438.150.266.450.284,D03,438,150,266,450,284,
Kaempferols,D03.438.150.266.450.284.388,D03,438,150,266,450,284,388
Quercetin,D03.438.150.266.450.284.777,D03,438,150,266,450,284,777
Rutin,D03.438.150.266.450.284.888,D03,438,150,266,450,284,888
Hydroxyethylrutoside,D03.438.150.266.450.284.888.500,D03,438,150,266,450,284,888
Isoflavones,D03.438.150.266.450.400,D03,438,150,266,450,400,
Coumestrol,D03.438.150.266.450.400.187,D03,438,150,266,450,400,187
Equol,D03.438.150.266.450.400.281,D03,438,150,266,450,400,281
Genistein,D03.438.150.266.450.400.375,D03,438,150,266,450,400,375
Pterocarpans,D03.438.150.266.450.400.687,D03,438,150,266,450,400,687
Rotenone,D03.438.150.266.450.400.843,D03,438,150,266,450,400,843
Proanthocyanidins,D03.438.150.266.450.700,D03,438,150,266,450,700,
Citrinin,D03.438.150.320,D03,438,150,320,,,
Coumarins,D03.438.150.446,D03,438,150,446,,,
Aminocoumarins,D03.438.150.446.139,D03,438,150,446,139,,
Novobiocin,D03.438.150.446.139.500,D03,438,150,446,139,500,
Chromonar,D03.438.150.446.280,D03,438,150,446,280,,
Coumestrol,D03.438.150.446.350,D03,438,150,446,350,,
Esculin,D03.438.150.446.400,D03,438,150,446,400,,
4-Hydroxycoumarins,D03.438.150.446.520,D03,438,150,446,520,,
Acenocoumarol,D03.438.150.446.520.079,D03,438,150,446,520,79,
Dicumarol,D03.438.150.446.520.203,D03,438,150,446,520,203,
Ethyl Biscoumacetate,D03.438.150.446.520.451,D03,438,150,446,520,451,
Phenprocoumon,D03.438.150.446.520.750,D03,438,150,446,520,750,
Warfarin,D03.438.150.446.520.914,D03,438,150,446,520,914,
Isocoumarins,D03.438.150.446.598,D03,438,150,446,598,,
Ochratoxins,D03.438.150.446.598.500,D03,438,150,446,598,500,
Psoralens,D03.438.150.446.794,D03,438,150,446,794,,
Ficusin,D03.438.150.446.794.200,D03,438,150,446,794,200,
Khellin,D03.438.150.446.794.300,D03,438,150,446,794,300,
Methoxsalen,D03.438.150.446.794.500,D03,438,150,446,794,500,
Trioxsalen,D03.438.150.446.794.875,D03,438,150,446,794,875,
Pyranocoumarins,D03.438.150.446.853,D03,438,150,446,853,,
Umbelliferones,D03.438.150.446.912,D03,438,150,446,912,,
Coumaphos,D03.438.150.446.912.326,D03,438,150,446,912,326,
Hymecromone,D03.438.150.446.912.531,D03,438,150,446,912,531,
Scopoletin,D03.438.150.446.912.850,D03,438,150,446,912,850,
Cromakalim,D03.438.150.455,D03,438,150,455,,,
Ellagic Acid,D03.438.150.500,D03,438,150,500,,,
